"Run.Length","count"
1,416
2,1664
3,6645
4,25886
5,89963
6,262948
7,765315
8,2283995
9,5793766
10,10159173
11,12313583
12,8401601
13,2931281
14,793369
15,305383
16,180265
17,130058
18,101468
19,82751
20,68105
21,56639
22,47644
23,40621
24,34912
25,30058
26,25882
27,22311
28,19192
29,16717
30,14490
31,12558
32,10703
33,9161
34,7906
35,6836
36,5894
37,4951
38,4324
39,3645
40,3105
41,2643
42,2278
43,1929
44,1593
45,1350
46,1135
47,965
48,843
49,735
50,657
51,563
52,514
53,451
54,394
55,361
56,327
57,304
58,261
59,261
60,217
61,207
62,203
63,181
64,189
65,153
66,142
67,150
68,154
69,144
70,139
71,146
72,136
73,128
74,114
75,101
76,98
77,92
78,89
79,85
80,72
81,63
82,77
83,67
84,62
85,55
86,51
87,49
88,42
89,42
90,46
91,42
92,33
93,31
94,30
95,31
96,25
97,28
98,28
99,28
100,28
101,30
102,25
103,22
104,17
105,17
106,20
107,19
108,13
109,13
110,13
111,9
112,12
113,9
114,4
115,4
116,3
117,5
118,5
119,3
120,6
121,6
122,4
123,3
124,4
125,4
126,6
127,3
128,4
129,4
130,2
131,4
132,6
133,5
134,2
135,3
136,4
137,3
138,5
139,3
140,3
141,4
142,3
143,3
144,2
145,2
146,4
147,2
148,2
149,5
150,2
151,3
152,2
153,2
154,4
155,4
156,3
157,2
158,3
159,3
160,2
161,3
162,3
163,2
164,3
165,2
166,3
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,3
176,3
177,2
178,2
179,2
180,2
181,2
182,2
183,3
184,2
185,2
186,2
187,2
188,1
189,1
190,1
