File Name,Original File Size,Compressed Size,Compression Ratio,Compresssion Time,Decompression Time
DNACorpus2/AeCa,1591049,556535,2.859,1221,289
DNACorpus2/AgPh,43970,17442,2.521,21,8
DNACorpus2/AnCa,142189675,43665091,3.256,160561,33570
DNACorpus2/BuEb,18940,7893,2.4,34,7
DNACorpus2/DaRe,62565020,19586457,3.194,58734,16327
DNACorpus2/DrMe,32181429,10619042,3.031,29080,9883
DNACorpus2/EnIn,26403087,8609993,3.067,23231,7525
DNACorpus2/EsCo,4641652,1593404,2.913,3372,1110
DNACorpus2/GaGa,148532294,46851765,3.17,141631,27250
DNACorpus2/HaHi,3890005,1306708,2.977,3067,955
DNACorpus2/HePy,1667825,566972,2.942,1251,271
DNACorpus2/HoSa,189752667,57200209,3.317,168619,35951
DNACorpus2/OrSa,43262523,14148071,3.058,31413,7275
DNACorpus2/PlFa,8986712,2895744,3.103,6721,2041
DNACorpus2/ScPo,10652155,3590856,2.966,8229,2277
DNACorpus2/WaMe,9144432,3112000,2.938,6779,1994
DNACorpus2/YeMi,73689,27235,2.706,38,18
